,input,id,来源,name,label,开发,发行,href,厂商,评分,下载,关注,android,ios,GameRes评分
2966,2021/11/19,81351,TAPTAP,欧氏几何,"益智,数学,几何,教育,DIY,物理,休闲,创造,竖屏,虐心",HORIS INTERNATIONAL LIMITED,腾讯,https://www.taptap.com/app/81351,nan,9.8,0,91283,预约,获取,
2967,2021/11/19,81227,TAPTAP,星河联盟之复仇者之战,"角色扮演,飞行,飞行射击,射击",nan,nan,https://www.taptap.com/app/81227,上海卓耳网络科技有限公司,0.0,0,161,预约,预约,
2968,2021/11/19,81225,TAPTAP,佣兵酒吧,"角色扮演,多人,对战,像素,RPG",冲击波游戏,厦门冲击波网络科技有限公司,https://www.taptap.com/app/81225,nan,6.8,0,2191,预约,预约,
2969,2021/11/19,81133,TAPTAP,搏基俱乐部,"搞笑,物理,多人,UP主推荐,联机,中文",nan,nan,https://www.taptap.com/app/81133,Bug Inventors,8.7,0,61787,预约,预约,
2970,2021/11/19,81098,TAPTAP,交错之魂,"80年代,复古,像素,角色扮演,剧情",Fourattic,Devolver Digital,https://www.taptap.com/app/81098,nan,9.8,0,5864,预约,预约,
2971,2021/11/19,80885,TAPTAP,科学 vs 狂怒,"Steam移植,移植,射击,街机",nan,nan,https://www.taptap.com/app/80885,10tons Ltd.,8.9,0,15098,预约,￥60,
2972,2021/11/19,80784,TAPTAP,永夜之地,"动作,僵尸,射击",nan,nan,https://www.taptap.com/app/80784,极光互动,7.8,0,12751,预约,预约,
2973,2021/11/19,80783,TAPTAP,飞飞物语之复兴,"MMORPG,体育,滑板",nan,nan,https://www.taptap.com/app/80783,Gala Lab Corp.,8.9,0,9599,预约,预约,
2974,2021/11/19,80696,TAPTAP,当噩梦来临,"射击,动作",枫魔互动,nan,https://www.taptap.com/app/80696,nan,9.8,0,4334,预约,获取,
2975,2021/11/19,80104,TAPTAP,海战游戏,"海战,飞机,末日,策略",nan,nan,https://www.taptap.com/app/80104,Special Game,7.0,0,345,预约,获取,
